sub,Age,Genre,Langue[1],Langue[2],Langue[3],lateralite[1],lateralite[2],lateralite[3],niveauetudes[1],niveauetudes[2],niveauetudes[3],niveauetudes[4],UPPS[1],UPPS[2],UPPS[3],UPPS[4],UPPS[5],UPPS[6],UPPS[7],UPPS[8],UPPS[9],UPPS[10],UPPS[11],UPPS[12],UPPS[13],UPPS[14],UPPS[15],UPPS[16],UPPS[17],UPPS[18],UPPS[19],UPPS[20],UPPS[21],UPPS[22],UPPS[23],UPPS[24],UPPS[25],UPPS[26],UPPS[27],UPPS[28],UPPS[29],UPPS[30],UPPS[31],UPPS[32],UPPS[33],UPPS[34],UPPS[35],UPPS[36],UPPS[37],UPPS[38],UPPS[39],UPPS[40],UPPS[41],UPPS[42],UPPS[43],UPPS[44],UPPS[45],QABB[1],QABB[2],QABB[3],QABB[4],QABB[5],QABB[6],QABB[7],QABB[8],QABB[9],QABB[10],QABB[11],QABB[12],QABB[13],QABB[14],QABB[15],QABB[16],QABB[17],QABB[18],QABB[19],PMPUQSV[1],PMPUQSV[2],PMPUQSV[3],PMPUQSV[4],PMPUQSV[5],PMPUQSV[6],PMPUQSV[7],PMPUQSV[8],PMPUQSV[9],PMPUQSV[10],PMPUQSV[11],PMPUQSV[12],PMPUQSV[13],PMPUQSV[14],PMPUQSV[15],PCLS[1],PCLS[2],PCLS[3],PCLS[4],PCLS[5],PCLS[6],PCLS[7],PCLS[8],PCLS[9],PCLS[10],PCLS[11],PCLS[12],PCLS[13],PCLS[14],PCLS[15],PCLS[16],PCLS[17],OCIR[1],OCIR[2],OCIR[3],OCIR[4],OCIR[5],OCIR[6],OCIR[7],OCIR[8],OCIR[9],OCIR[10],OCIR[11],OCIR[12],OCIR[13],OCIR[14],OCIR[15],OCIR[16],OCIR[17],OCIR[18],IAT[1],IAT[2],IAT[3],IAT[4],IAT[5],IAT[6],IAT[7],IAT[8],IAT[9],IAT[10],IAT[11],IAT[12],IAT[13],IAT[14],IAT[15],IAT[16],IAT[17],IAT[18],IAT[19],IAT[20],EAT26[1],EAT26[2],EAT26[3],EAT26[4],EAT26[5],EAT26[6],EAT26[7],EAT26[8],EAT26[9],EAT26[10],EAT26[11],EAT26[12],EAT26[13],EAT26[14],EAT26[15],EAT26[16],EAT26[17],EAT26[18],EAT26[19],EAT26[20],EAT26[21],EAT26[22],EAT26[23],EAT26[24],EAT26[25],EAT26[26],COHS[1],COHS[2],COHS[3],COHS[4],COHS[5],COHS[6],COHS[7],COHS[8],COHS[9],COHS[10],COHS[11],COHS[12],COHS[13],COHS[14],COHS[15],COHS[16],COHS[17],COHS[18],COHS[19],COHS[20],COHS[21],COHS[22],COHS[23],COHS[24],COHS[25],COHS[26],COHS[27],STAIT[1],STAIT[2],STAIT[3],STAIT[4],STAIT[5],STAIT[6],STAIT[7],STAIT[8],STAIT[9],STAIT[10],STAIT[11],STAIT[12],STAIT[13],STAIT[14],STAIT[15],STAIT[16],STAIT[17],STAIT[18],STAIT[19],STAIT[20],STAIS[1],STAIS[2],STAIS[3],STAIS[4],STAIS[5],STAIS[6],STAIS[7],STAIS[8],STAIS[9],STAIS[10],STAIS[11],STAIS[12],STAIS[13],STAIS[14],STAIS[15],STAIS[16],STAIS[17],STAIS[18],STAIS[19],STAIS[20],PSS[1],PSS[2],PSS[3],PSS[4],PSS[5],PSS[6],PSS[7],PSS[8],PSS[9],PSS[10],CESD[1],CESD[2],CESD[3],CESD[4],CESD[5],CESD[6],CESD[7],CESD[8],CESD[9],CESD[10],CESD[11],CESD[12],CESD[13],CESD[14],CESD[15],CESD[16],CESD[17],CESD[18],CESD[19],CESD[20],UPPS_urgency,UPPS_premeditation,UPPS_perseverance,UPPS_sensation,QABB_total,PMPUQSV_total,PMPUQSV_dangerous,PMPUQSV_prohibited,PMPUQSV_dependant,PCLS_total,PCLS_intrusion,PCLS_evitement,PCLS_hyperstimulation,EAT26_total,EAT26_dieting,EAT26_bulimia,EAT26_oral_control,IAT_total,IAT_salience,IAT_excessive_use,IAT_neglect_work,IAT_anticipation,IAT_lack_control,IAT_neglect_social_life,OCIR_total,OCIR_Washing,OCIR_obsessing,OCIR_hoarding,OCIR_ordering,OCIR_checking,OCIR_neutralising,STAIT_total,STAIS_total,PSS_total,COHS_routine,COHS_automaticity,CESD_total
2,23,F,Oui,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,2,4,3,1,1,3,4,3,1,3,3,1,1,3,4,2,2,4,4,1,4,1,2,3,3,1,2,4,3,1,1,3,3,1,2,4,4,4,2,1,4,3,2,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,2,2,NA,2,1,3,1,2,NA,1,1,NA,2,3,2,1,4,1,5,2,1,1,3,1,1,3,1,1,1,1,2,2,0,0,1,3,2,0,0,0,1,3,2,0,0,0,1,2,4,1,0,0,1,1,0,1,1,3,3,2,0,0,0,3,2,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,4,5,1,5,1,4,5,2,1,4,1,2,2,4,4,1,5,3,1,5,2,3,1,5,1,1,3,2,1,2,2,1,3,2,1,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,2,2,2,1,2,1,1,2,1,1,1,1,2,2,1,2,2,3,2,3,2,2,3,2,2,3,3,1,0,2,1,0,2,1,1,0,0,0,1,0,2,0,0,1,2,1,1,40,17,16,41,1,1.636363636,3,1.6,1.4,32,11,14,7,6,4,0,2,25,5,8,3,3,6,0,19,3,8,6,0,2,0,33,29,25,63,13,16
3,20,F,Oui,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,1,3,4,2,2,4,3,4,1,3,4,2,2,4,4,2,2,3,4,1,4,2,1,3,3,2,2,4,4,1,1,3,4,1,2,3,3,4,2,2,3,3,1,4,3,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,2,NA,2,2,NA,4,1,1,2,2,NA,1,1,NA,1,3,5,1,3,3,4,2,1,2,4,1,2,1,2,5,1,3,3,2,1,0,1,4,4,2,1,0,0,3,4,0,0,0,1,2,3,3,1,1,1,1,5,2,2,2,2,2,1,4,1,5,4,1,2,1,2,0,3,2,0,0,0,0,3,2,3,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,4,4,5,2,4,4,5,5,5,5,5,2,4,4,2,5,4,5,4,5,1,1,4,1,4,5,1,3,2,3,3,4,4,3,4,4,3,2,4,3,4,3,3,4,4,3,4,3,2,4,4,4,4,4,3,3,3,3,4,3,1,3,3,3,4,4,4,4,5,5,4,3,5,4,3,4,4,1,0,3,2,2,3,3,2,3,1,2,2,1,3,0,2,3,3,3,1,37,18,21,44,8,1.727272727,1,2,1.6,43,15,16,12,20,9,8,0,44,8,12,5,7,10,2,28,2,9,11,2,4,0,67,66,41,53,47,40
4,20,F,Oui,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,1,4,3,2,2,4,3,3,1,3,4,2,1,3,3,2,2,3,3,2,3,2,2,3,3,2,2,3,3,2,1,4,3,2,1,3,4,3,1,1,3,3,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,3,2,4,4,2,1,4,1,1,3,1,2,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,5,4,1,1,2,3,4,3,1,1,2,1,1,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,4,2,4,2,5,5,5,4,4,2,4,2,4,4,3,1,4,1,5,1,3,3,1,3,2,4,2,2,2,4,2,2,2,2,3,2,3,4,2,4,2,3,3,3,3,3,1,2,1,2,2,1,2,2,2,2,3,2,2,2,3,2,3,1,2,2,3,4,5,3,3,4,1,3,2,3,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,37,15,22,38,0,2.266666667,1.4,1.8,3.6,20,7,8,5,3,0,0,3,40,6,13,7,6,6,2,3,0,3,0,0,0,0,53,39,31,58,28,9
5,25,M,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,1,3,3,1,2,3,4,3,1,4,3,1,2,4,3,2,2,4,3,2,3,2,2,4,3,2,2,3,3,2,1,4,3,2,2,4,4,3,2,2,3,3,2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,1,2,1,4,3,3,3,3,2,2,2,1,2,1,1,1,1,1,1,1,1,1,3,3,1,2,3,3,1,2,0,0,2,0,0,2,1,0,2,0,1,2,2,1,1,0,0,2,5,4,0,1,3,3,4,4,2,4,4,3,1,2,3,3,4,3,3,4,1,0,1,1,0,1,0,0,0,1,1,0,1,0,2,0,0,0,1,0,0,1,1,0,0,0,2,4,2,4,2,4,2,4,4,2,2,2,5,2,4,1,2,5,2,2,3,2,5,2,4,4,5,2,2,3,2,3,3,2,1,2,3,2,3,2,3,2,3,2,3,2,2,1,1,1,1,2,1,1,2,1,2,2,1,1,2,1,2,1,1,1,2,2,3,3,4,4,4,1,3,4,2,1,0,2,1,2,1,2,2,2,1,1,1,1,1,0,2,0,2,2,2,41,19,20,38,3,2.266666667,1.8,2.4,2.6,27,5,11,11,12,6,2,2,60,14,18,9,8,10,1,16,1,6,3,5,1,0,47,27,30,49,33,26
6,24,F,Oui,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,2,3,3,2,2,4,3,4,2,3,4,2,2,3,3,2,2,3,4,2,3,2,2,3,3,2,2,3,4,2,2,3,3,2,2,3,4,3,2,2,3,4,2,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,NA,4,3,NA,2,2,1,1,2,NA,1,1,NA,1,2,1,1,1,1,1,2,1,3,3,2,1,2,2,2,1,2,2,1,0,0,0,2,3,0,3,0,0,2,2,0,0,0,0,0,4,1,1,1,1,2,2,2,1,3,3,2,1,1,2,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,3,2,3,2,4,3,5,2,2,2,2,3,1,4,1,3,3,2,5,3,2,1,1,2,5,4,3,3,4,3,4,4,2,4,4,4,3,4,3,3,4,4,3,3,3,3,3,4,3,4,3,3,3,4,1,4,4,3,2,3,4,4,3,4,3,3,4,5,5,3,4,5,3,5,4,5,0,0,3,3,2,3,3,3,3,2,3,2,2,2,0,2,2,3,2,3,36,22,23,42,1,1.909090909,1,1.8,2.2,28,6,13,9,1,0,0,1,34,10,8,5,5,4,2,15,0,4,7,3,1,0,68,65,43,47,27,43
7,20,F,Oui,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,2,4,3,1,2,3,3,3,2,3,3,1,1,3,3,2,2,3,3,2,4,2,2,3,3,2,2,3,4,2,1,3,3,2,1,3,3,3,2,2,3,4,2,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,1,3,1,2,3,3,1,3,1,1,3,1,1,2,1,1,2,2,4,4,3,1,3,1,2,1,1,3,1,2,1,1,2,2,3,1,1,0,2,0,3,2,3,1,3,0,3,1,1,1,1,1,2,2,3,2,1,3,3,3,1,2,1,3,2,2,1,1,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,5,4,4,4,4,4,5,5,2,4,4,4,4,4,4,4,3,5,2,5,5,4,4,4,4,4,4,1,2,2,2,1,2,2,2,2,2,2,2,2,3,2,2,2,3,2,2,1,2,1,1,2,1,3,2,1,2,2,2,2,2,2,2,2,1,2,2,3,3,3,2,3,4,2,3,5,4,1,0,2,1,2,2,1,2,0,2,0,1,0,2,0,1,1,1,1,1,36,19,20,39,3,1.933333333,1.4,1.2,3.2,34,8,18,8,8,3,0,5,36,9,7,5,6,7,2,29,9,4,5,7,2,2,40,35,32,67,42,21
8,23,M,Oui,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,2,3,3,1,1,3,4,3,1,3,3,1,1,3,3,2,1,3,4,2,3,2,1,3,3,1,1,3,3,2,2,3,3,1,1,3,4,4,1,1,3,4,2,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,3,1,4,2,1,1,3,1,1,2,1,3,2,1,2,2,1,2,1,1,1,1,1,1,2,1,1,1,1,0,2,3,0,1,0,0,0,3,0,1,0,1,0,2,0,3,0,4,1,1,0,0,3,2,4,2,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,2,0,0,0,0,0,0,4,3,4,4,2,4,5,3,5,5,3,4,3,4,3,3,4,4,2,5,1,3,1,2,4,4,3,2,2,2,3,1,1,1,1,1,2,1,3,2,2,1,2,1,2,2,2,1,1,2,2,2,1,1,2,1,1,3,2,2,2,2,2,2,1,2,2,2,2,3,2,2,3,2,3,3,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,35,13,19,41,1,1.866666667,1.2,2,2.4,22,8,8,6,7,1,1,5,22,2,6,9,2,2,1,16,5,0,1,8,2,0,34,34,24,60,32,4
9,21,M,Oui,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,2,4,3,2,2,3,4,3,1,4,4,2,1,3,3,2,2,3,3,2,3,2,2,3,3,2,1,3,4,2,1,4,3,2,1,3,4,4,1,1,3,4,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,4,1,NA,4,3,NA,3,1,1,2,1,3,4,2,1,2,2,3,2,3,1,1,2,1,4,2,3,1,1,0,2,2,3,2,4,1,1,3,0,3,3,2,0,2,0,1,2,4,3,0,1,2,1,1,0,2,3,1,1,1,2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,5,2,4,3,5,4,2,4,1,1,4,3,2,4,5,4,3,2,5,2,3,1,4,4,2,4,1,2,2,3,3,2,1,2,2,3,3,4,2,2,1,2,2,4,1,2,1,1,1,3,2,1,3,2,1,2,3,2,2,2,1,2,3,2,2,1,3,3,4,3,2,4,2,3,2,3,0,0,0,2,2,1,0,1,0,2,2,2,0,3,0,2,0,1,1,1,38,15,23,42,0,2.230769231,1.4,2,3.2,35,11,13,11,2,0,0,2,26,8,9,3,2,3,1,31,6,9,3,7,3,3,44,37,29,57,28,20
10,46,F,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,2,3,4,2,2,3,3,3,2,3,3,2,2,3,4,2,2,3,4,2,4,2,2,3,3,2,2,3,4,2,2,3,4,2,1,3,4,3,2,2,3,4,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,2,1,1,3,1,1,4,NA,2,2,1,1,4,4,3,4,4,5,3,5,4,3,4,4,5,4,3,2,1,2,2,1,1,0,2,2,1,1,0,0,2,4,0,1,0,0,0,4,3,1,0,1,3,3,3,1,2,2,2,1,3,1,4,1,1,1,1,0,0,1,0,0,2,0,0,0,0,2,0,3,0,1,0,0,0,0,0,0,0,2,0,1,0,4,5,4,4,4,5,3,4,3,1,4,4,4,5,5,4,4,4,4,5,4,2,4,5,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,4,4,3,3,2,3,3,3,2,3,2,3,3,3,3,4,3,3,3,3,1,3,3,3,3,3,3,3,3,4,4,4,3,2,3,3,3,3,1,0,2,2,3,0,3,2,1,1,3,3,1,2,0,2,0,2,1,3,34,21,22,45,0,1.785714286,1,1.2,3,62,19,28,15,12,7,1,3,38,7,12,7,5,6,1,19,0,4,8,3,3,1,59,57,32,64,43,32
11,21,F,Oui,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,2,3,3,1,1,3,3,3,2,4,3,1,2,3,3,1,2,3,3,2,3,1,2,3,3,2,2,3,4,1,1,3,3,1,1,3,3,3,1,2,3,4,2,4,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,1,3,1,3,3,1,1,2,1,1,1,1,2,3,2,1,3,1,3,3,2,2,3,1,1,4,1,2,2,1,1,2,2,0,0,3,1,1,3,1,1,2,1,1,2,1,1,2,4,2,1,1,2,1,1,2,2,3,2,2,1,3,1,4,3,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,5,2,2,4,2,2,4,1,2,1,1,2,2,4,3,2,2,4,1,5,1,4,1,1,1,4,4,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,4,1,3,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,2,3,2,1,2,2,1,0,0,1,1,1,1,0,1,0,0,2,1,0,1,0,1,0,1,0,1,36,18,16,39,2,1.733333333,1.2,1.6,2.4,35,10,15,10,5,3,0,2,38,8,11,5,3,9,2,25,2,7,3,7,4,2,43,22,23,49,18,12
