sub,Age,Genre,Langue[1],Langue[2],Langue[3],lateralite[1],lateralite[2],lateralite[3],niveauetudes[1],niveauetudes[2],niveauetudes[3],niveauetudes[4],UPPS[1],UPPS[2],UPPS[3],UPPS[4],UPPS[5],UPPS[6],UPPS[7],UPPS[8],UPPS[9],UPPS[10],UPPS[11],UPPS[12],UPPS[13],UPPS[14],UPPS[15],UPPS[16],UPPS[17],UPPS[18],UPPS[19],UPPS[20],UPPS[21],UPPS[22],UPPS[23],UPPS[24],UPPS[25],UPPS[26],UPPS[27],UPPS[28],UPPS[29],UPPS[30],UPPS[31],UPPS[32],UPPS[33],UPPS[34],UPPS[35],UPPS[36],UPPS[37],UPPS[38],UPPS[39],UPPS[40],UPPS[41],UPPS[42],UPPS[43],UPPS[44],UPPS[45],QABB[1],QABB[2],QABB[3],QABB[4],QABB[5],QABB[6],QABB[7],QABB[8],QABB[9],QABB[10],QABB[11],QABB[12],QABB[13],QABB[14],QABB[15],QABB[16],QABB[17],QABB[18],QABB[19],PMPUQSV[1],PMPUQSV[2],PMPUQSV[3],PMPUQSV[4],PMPUQSV[5],PMPUQSV[6],PMPUQSV[7],PMPUQSV[8],PMPUQSV[9],PMPUQSV[10],PMPUQSV[11],PMPUQSV[12],PMPUQSV[13],PMPUQSV[14],PMPUQSV[15],PCLS[1],PCLS[2],PCLS[3],PCLS[4],PCLS[5],PCLS[6],PCLS[7],PCLS[8],PCLS[9],PCLS[10],PCLS[11],PCLS[12],PCLS[13],PCLS[14],PCLS[15],PCLS[16],PCLS[17],OCIR[1],OCIR[2],OCIR[3],OCIR[4],OCIR[5],OCIR[6],OCIR[7],OCIR[8],OCIR[9],OCIR[10],OCIR[11],OCIR[12],OCIR[13],OCIR[14],OCIR[15],OCIR[16],OCIR[17],OCIR[18],IAT[1],IAT[2],IAT[3],IAT[4],IAT[5],IAT[6],IAT[7],IAT[8],IAT[9],IAT[10],IAT[11],IAT[12],IAT[13],IAT[14],IAT[15],IAT[16],IAT[17],IAT[18],IAT[19],IAT[20],EAT26[1],EAT26[2],EAT26[3],EAT26[4],EAT26[5],EAT26[6],EAT26[7],EAT26[8],EAT26[9],EAT26[10],EAT26[11],EAT26[12],EAT26[13],EAT26[14],EAT26[15],EAT26[16],EAT26[17],EAT26[18],EAT26[19],EAT26[20],EAT26[21],EAT26[22],EAT26[23],EAT26[24],EAT26[25],EAT26[26],COHS[1],COHS[2],COHS[3],COHS[4],COHS[5],COHS[6],COHS[7],COHS[8],COHS[9],COHS[10],COHS[11],COHS[12],COHS[13],COHS[14],COHS[15],COHS[16],COHS[17],COHS[18],COHS[19],COHS[20],COHS[21],COHS[22],COHS[23],COHS[24],COHS[25],COHS[26],COHS[27],STAIT[1],STAIT[2],STAIT[3],STAIT[4],STAIT[5],STAIT[6],STAIT[7],STAIT[8],STAIT[9],STAIT[10],STAIT[11],STAIT[12],STAIT[13],STAIT[14],STAIT[15],STAIT[16],STAIT[17],STAIT[18],STAIT[19],STAIT[20],STAIS[1],STAIS[2],STAIS[3],STAIS[4],STAIS[5],STAIS[6],STAIS[7],STAIS[8],STAIS[9],STAIS[10],STAIS[11],STAIS[12],STAIS[13],STAIS[14],STAIS[15],STAIS[16],STAIS[17],STAIS[18],STAIS[19],STAIS[20],PSS[1],PSS[2],PSS[3],PSS[4],PSS[5],PSS[6],PSS[7],PSS[8],PSS[9],PSS[10],CESD[1],CESD[2],CESD[3],CESD[4],CESD[5],CESD[6],CESD[7],CESD[8],CESD[9],CESD[10],CESD[11],CESD[12],CESD[13],CESD[14],CESD[15],CESD[16],CESD[17],CESD[18],CESD[19],CESD[20],UPPS_urgency,UPPS_premeditation,UPPS_perseverance,UPPS_sensation,QABB_total,PMPUQSV_total,PMPUQSV_dangerous,PMPUQSV_prohibited,PMPUQSV_dependant,PCLS_total,PCLS_intrusion,PCLS_evitement,PCLS_hyperstimulation,EAT26_total,EAT26_dieting,EAT26_bulimia,EAT26_oral_control,IAT_total,IAT_salience,IAT_excessive_use,IAT_neglect_work,IAT_anticipation,IAT_lack_control,IAT_neglect_social_life,OCIR_total,OCIR_Washing,OCIR_obsessing,OCIR_hoarding,OCIR_ordering,OCIR_checking,OCIR_neutralising,STAIT_total,STAIS_total,PSS_total,COHS_routine,COHS_automaticity,CESD_total
12,22,F,Oui,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,2,4,3,2,2,4,3,4,2,4,3,2,2,3,4,2,2,3,3,2,4,2,1,3,3,2,2,4,4,2,2,4,3,2,1,4,4,4,2,2,4,3,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,NA,2,1,NA,2,1,NA,2,1,NA,1,1,NA,1,3,2,5,4,5,4,4,1,2,2,1,2,4,5,4,3,4,1,2,0,3,0,4,3,0,1,1,0,2,3,1,0,0,0,2,4,2,1,1,1,1,4,1,1,1,1,1,1,2,1,2,1,1,1,1,3,0,3,1,0,0,0,0,0,1,3,0,3,0,3,1,0,0,2,0,0,0,1,1,0,1,3,4,3,2,4,4,4,4,2,2,3,3,4,3,2,2,5,4,2,4,2,2,2,4,2,4,3,3,3,3,4,3,3,2,3,4,3,4,4,2,3,4,3,4,3,3,4,2,2,2,2,4,2,2,3,2,2,4,3,1,2,2,4,3,2,2,2,2,5,5,3,3,5,4,3,3,3,0,0,1,3,0,1,0,2,0,1,1,1,1,2,0,2,0,1,0,0,41,20,24,40,2,1.4,NA,1.6,1.2,55,19,16,20,23,10,5,5,29,5,10,3,5,4,2,23,0,8,7,1,3,4,65,48,36,53,30,16
13,22,F,Oui,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,2,3,3,2,2,3,3,3,1,3,3,2,1,3,4,2,1,3,3,1,4,2,2,3,3,1,2,3,3,2,2,3,3,2,2,3,4,4,2,2,3,4,2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,1,3,2,1,NA,1,1,2,2,1,3,3,4,3,3,2,2,3,2,3,4,4,2,5,3,4,1,2,1,0,0,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,4,4,1,1,2,4,2,3,3,2,1,1,1,2,1,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,2,4,3,2,2,2,2,4,2,1,4,3,2,2,2,4,3,2,3,4,4,3,4,2,4,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,3,3,1,2,2,2,2,3,2,2,3,2,1,2,2,1,2,2,2,1,2,2,2,2,4,5,4,2,4,2,2,3,4,4,1,0,0,1,2,0,1,0,0,1,1,1,1,0,1,1,2,2,1,1,35,19,21,40,1,1.714285714,1,2.5,1.8,50,15,20,15,5,3,0,1,39,6,12,10,3,6,2,19,3,3,5,3,2,3,41,39,34,38,39,17
14,19,F,Oui,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,1,3,4,2,2,3,3,3,2,3,3,2,2,3,4,1,1,3,3,2,3,1,1,3,3,2,2,3,3,1,1,4,3,2,1,3,4,4,2,2,4,4,2,3,3,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,1,4,1,2,2,2,2,3,3,4,4,4,3,3,2,3,4,2,2,2,4,4,2,2,1,2,3,0,1,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,4,4,1,1,4,4,5,2,5,5,4,2,4,3,1,4,2,2,2,2,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,4,4,2,4,4,4,3,3,4,4,2,2,4,4,4,4,4,2,2,2,2,2,4,4,2,3,3,3,2,3,3,3,3,3,2,3,2,3,2,2,2,3,3,3,2,3,3,3,2,3,2,2,3,2,2,2,3,3,3,2,3,2,2,3,2,2,3,4,5,1,4,3,4,4,1,2,1,2,2,2,1,2,1,1,1,1,0,1,1,1,1,0,1,1,37,17,20,40,8,2.933333333,2.8,2.6,3.4,47,16,21,10,4,0,2,2,61,14,15,11,9,10,2,6,0,5,0,0,1,0,53,50,32,52,37,23
15,20,F,Oui,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,2,4,3,2,2,3,3,3,1,3,3,2,2,4,4,2,2,3,4,1,3,2,2,3,4,2,2,3,3,2,1,3,3,2,2,4,3,3,2,2,3,3,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,2,4,4,2,3,1,3,2,1,4,1,4,2,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,2,0,2,1,0,1,4,3,0,0,0,1,2,2,0,0,1,1,1,2,1,1,1,1,1,3,1,1,2,2,2,1,2,2,1,1,2,2,2,2,0,1,0,0,2,0,0,0,0,2,0,0,0,2,0,0,1,0,1,0,1,1,0,0,0,2,2,2,4,1,4,4,4,2,1,1,1,1,2,2,1,1,3,1,3,4,1,1,5,1,1,3,3,3,3,4,3,3,4,3,4,3,3,3,3,3,3,3,4,1,4,3,3,3,3,2,3,2,3,3,2,3,3,3,1,1,4,2,3,1,4,2,2,3,5,4,4,4,3,4,4,4,1,0,0,1,1,0,1,1,0,1,0,2,0,1,0,1,2,2,2,1,37,20,21,39,2,2.666666667,2.6,2.4,3,22,6,9,7,13,8,2,1,31,9,9,3,5,3,2,19,3,7,5,1,2,1,63,51,37,39,19,17
16,21,F,Oui,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,2,3,3,2,2,3,3,3,2,3,3,2,2,3,3,2,2,3,3,2,3,2,2,3,3,2,2,3,3,2,2,3,3,2,2,3,4,3,2,2,3,4,2,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,2,1,3,2,1,1,2,1,NA,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,2,2,1,0,3,2,0,2,1,1,1,3,0,1,1,0,0,5,3,1,2,1,3,2,3,4,3,2,1,2,3,1,4,4,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,2,0,1,0,0,0,0,0,0,4,4,2,4,3,4,4,2,2,4,3,4,3,5,3,4,4,2,3,5,4,4,3,1,2,3,3,2,1,2,3,1,3,1,1,2,1,2,2,1,2,1,1,3,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,2,3,2,2,2,1,2,2,2,0,0,1,1,1,0,0,0,0,0,0,0,1,2,0,2,0,1,0,1,35,22,22,38,2,1.5,1,1.75,1.8,21,6,8,7,8,5,2,1,48,9,13,10,4,9,3,21,1,4,6,5,2,3,33,24,19,58,31,10
17,20,F,Oui,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,2,3,4,1,2,3,4,3,2,3,3,1,2,4,4,2,1,3,4,2,4,2,2,3,4,2,2,3,3,2,2,4,3,2,2,3,3,3,2,2,3,4,2,3,3,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,4,NA,2,4,1,NA,3,4,1,2,4,1,1,NA,2,4,3,2,3,2,4,3,2,2,1,3,1,3,2,3,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,2,2,0,2,0,2,1,3,2,3,2,1,1,2,0,4,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,4,3,3,4,5,2,2,1,4,3,4,2,5,4,5,2,5,2,3,2,3,2,3,3,2,2,2,2,2,3,3,1,2,2,2,1,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,2,2,4,1,2,3,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,0,1,0,1,1,0,37,21,20,43,9,2.416666667,3,1.5,2.8,40,14,16,10,5,2,0,3,31,6,7,7,3,6,2,6,0,1,2,2,0,1,39,20,24,57,29,12
18,23,M,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,2,4,3,2,2,3,4,3,2,3,3,2,2,4,3,2,2,3,3,2,4,2,2,3,3,2,2,3,4,2,1,3,3,2,2,4,3,3,2,1,3,3,1,3,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,1,1,1,1,3,2,1,1,1,1,2,1,1,2,2,1,1,1,1,2,1,1,1,4,2,1,1,3,2,2,2,2,2,3,1,2,2,3,0,1,0,1,2,3,1,2,2,0,1,4,2,1,1,0,0,0,1,1,1,1,2,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,5,3,2,1,4,3,2,5,4,5,4,3,2,1,4,2,3,4,2,4,5,3,4,4,2,2,5,2,2,2,2,2,3,2,2,1,3,2,3,3,2,4,3,1,3,1,3,3,3,3,3,3,1,1,3,3,3,3,3,2,3,4,2,4,4,3,3,3,3,4,3,3,3,2,3,4,3,2,0,0,2,2,0,1,1,0,1,1,1,1,2,0,2,0,0,0,1,37,20,22,39,4,1.4,1,1.8,1.4,28,6,12,10,5,2,0,1,18,5,7,2,1,1,2,28,3,5,8,6,3,3,46,57,31,52,36,17
19,21,M,Oui,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,2,3,3,1,2,3,4,3,2,3,4,1,2,3,4,2,2,4,3,2,3,2,1,4,3,2,2,3,3,2,1,4,3,2,2,4,4,3,2,2,3,3,1,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,NA,2,4,NA,NA,4,3,1,2,NA,3,4,NA,3,1,1,1,1,1,1,1,1,1,3,2,1,2,3,3,3,1,0,0,2,0,0,2,2,0,1,0,1,2,0,0,0,1,1,2,4,4,0,2,1,2,4,1,1,3,4,1,2,5,1,4,3,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,5,2,2,2,4,3,2,2,4,2,4,4,3,3,1,2,4,1,4,2,4,1,2,1,2,4,2,2,2,2,2,2,3,2,3,2,3,4,3,4,2,2,3,4,3,3,1,1,2,2,2,1,2,2,1,2,2,1,1,3,2,2,2,1,2,1,3,3,3,2,2,2,1,4,4,3,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,38,20,20,40,2,3,3,2.25,3.6,27,5,10,12,1,1,0,0,48,9,17,4,8,8,2,14,2,6,2,3,0,1,53,33,27,57,18,12
20,23,F,Non,Oui,Non,Oui,Non,Non,Oui,Non,Non,Non,1,3,3,2,2,4,3,3,2,3,3,2,2,3,4,2,2,3,3,2,4,2,2,3,3,1,1,3,3,1,1,4,4,2,1,3,3,3,1,1,3,4,2,3,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,4,1,1,2,2,1,1,3,1,1,4,1,1,2,1,2,2,2,5,5,5,2,2,2,2,3,4,4,4,4,0,4,3,0,3,3,0,0,3,0,3,1,0,3,3,0,0,0,5,2,4,0,1,1,5,3,1,2,3,3,1,1,3,3,4,3,1,1,0,0,3,1,0,1,0,3,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,4,4,4,3,2,4,4,4,4,4,4,4,3,2,2,2,4,5,3,4,5,5,3,4,4,1,4,1,2,1,4,1,1,3,2,3,1,3,2,2,3,1,1,3,3,1,3,2,2,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,3,3,4,3,4,2,1,1,5,5,0,2,2,1,3,3,0,3,0,1,0,1,2,3,3,0,0,1,0,0,37,16,20,40,5,1.733333333,1,1.8,2.4,51,9,23,19,17,4,4,9,47,10,12,5,8,8,4,26,6,4,0,9,7,0,41,25,31,60,36,25
21,19,F,Oui,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,1,3,3,1,1,3,3,3,2,3,3,2,1,4,3,2,2,4,4,1,4,2,1,4,3,1,1,4,4,1,1,3,3,2,2,4,4,3,2,1,3,3,2,3,3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,4,2,1,3,2,NA,1,1,1,NA,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,1,2,0,2,0,1,0,1,0,0,0,2,0,1,0,1,0,4,2,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,4,3,4,1,4,5,4,2,4,2,4,3,5,4,4,2,3,2,5,2,2,2,2,2,3,4,2,2,2,2,1,2,2,1,2,2,1,3,2,3,2,2,1,2,2,1,2,1,1,3,2,1,1,1,1,1,2,1,1,2,2,2,1,1,2,1,2,2,3,2,2,3,2,2,3,2,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,40,15,18,40,3,1.692307692,1,2.5,1.6,18,5,7,6,4,1,1,1,28,5,9,5,2,5,2,11,3,0,3,4,1,0,37,29,23,57,27,6
22,21,F,Oui,Non,Non,Non,Non,Oui,Non,Oui,Non,Non,2,3,3,1,2,3,3,3,2,3,3,1,2,4,3,2,2,3,3,1,4,2,2,3,3,2,2,3,4,2,2,3,3,2,2,3,3,3,2,2,3,3,2,3,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,NA,1,2,NA,3,3,2,1,3,NA,1,3,NA,1,3,1,3,1,2,2,2,1,1,1,1,1,1,1,3,1,1,0,1,1,0,1,1,2,0,1,0,0,1,2,0,1,0,0,1,3,2,1,1,2,2,3,2,1,2,2,2,1,1,2,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,4,2,3,4,2,1,2,1,4,4,4,3,2,2,5,1,4,1,2,1,4,2,2,4,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,3,1,1,2,1,1,1,1,2,1,1,2,2,3,2,1,2,3,3,3,2,2,3,2,2,3,2,0,0,0,0,1,0,2,1,0,1,0,1,0,0,0,1,0,1,0,1,36,22,19,38,3,2.181818182,2,1.4,3,26,10,9,7,0,0,0,0,35,8,8,5,5,7,2,12,1,3,4,3,1,0,40,33,25,55,17,9
23,21,F,Oui,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,1,3,3,2,1,3,3,4,2,3,3,2,2,3,3,2,2,3,3,2,3,1,2,3,3,1,2,3,4,2,1,3,3,2,2,3,4,3,2,2,3,4,1,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,2,1,2,3,1,1,2,NA,1,2,1,1,2,1,1,2,1,4,2,1,1,4,1,1,3,2,2,1,3,0,2,2,0,0,1,2,0,3,0,1,1,2,1,3,0,2,0,4,2,1,1,2,1,2,1,2,2,1,1,1,2,1,3,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,3,5,4,5,2,4,4,2,2,4,3,2,4,3,4,2,5,2,5,2,2,3,3,5,5,4,2,2,2,3,1,3,2,2,2,2,1,3,2,3,1,2,1,3,1,2,1,2,2,1,2,2,3,2,2,2,2,2,1,1,2,2,3,2,2,2,3,3,4,3,3,4,2,3,3,2,1,0,1,1,2,1,1,1,0,1,2,1,2,2,0,2,1,1,0,1,34,19,21,40,1,1.642857143,1,1.4,2.4,32,7,14,11,3,1,1,1,32,6,10,4,3,7,2,20,3,2,4,8,3,0,40,38,30,52,41,21
24,20,F,Oui,Non,Non,Non,Oui,Non,Oui,Non,Non,Non,1,3,3,2,2,4,3,3,2,4,3,2,2,4,3,2,2,3,3,1,3,2,2,3,4,2,2,3,4,2,1,3,3,2,1,4,4,3,2,1,3,3,1,3,3,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,4,NA,1,4,NA,NA,4,NA,2,4,NA,1,4,NA,2,2,2,2,3,4,1,3,1,1,2,1,1,2,1,1,3,3,0,3,2,0,0,3,1,0,1,0,1,1,2,1,1,0,0,0,4,4,2,1,4,4,5,4,5,5,3,4,4,4,2,5,4,4,1,4,2,0,3,0,2,0,0,0,0,1,3,0,2,0,3,0,0,2,2,0,0,3,3,3,1,0,5,5,4,5,3,5,5,2,5,5,1,5,3,4,3,5,2,5,3,5,4,4,2,3,3,2,4,2,3,3,4,3,4,4,2,3,2,3,3,3,4,2,2,4,4,1,3,3,3,3,3,3,2,4,2,3,2,2,3,1,1,3,3,3,3,3,2,2,4,4,4,3,4,3,4,4,4,0,0,0,2,3,2,2,3,0,1,0,1,0,2,0,1,0,0,0,3,38,18,21,39,6,2.888888889,NA,1.5,4,33,13,10,10,30,16,5,6,73,16,20,13,8,13,3,16,1,4,3,4,4,0,59,52,36,68,34,20
25,19,F,Oui,Non,Non,Non,Oui,Non,Oui,Non,Non,Non,1,4,3,1,2,3,3,3,2,4,3,2,1,4,4,2,2,4,3,1,4,2,1,3,3,2,1,4,3,2,1,3,4,2,1,4,3,3,1,2,4,4,2,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,3,1,2,1,4,2,3,1,1,2,1,1,2,1,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,0,1,2,1,1,0,0,0,3,0,1,0,0,0,4,2,1,1,2,1,5,1,1,1,2,1,2,2,1,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,4,2,4,1,5,2,5,2,1,3,5,2,2,4,2,3,2,1,4,1,3,1,4,2,1,5,1,1,2,3,1,2,3,1,2,1,2,2,2,4,2,2,1,2,2,2,1,2,1,1,1,1,1,1,1,1,2,1,1,3,1,1,4,2,1,1,2,3,3,2,2,2,2,2,1,1,0,0,0,1,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,42,15,20,40,1,1.733333333,1.6,1.6,2,22,8,8,6,2,0,0,2,35,6,10,3,7,7,2,15,0,1,7,3,3,1,38,28,20,54,21,6
26,25,F,Oui,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,1,4,3,2,1,4,4,3,1,3,3,1,1,3,4,2,1,3,3,2,4,2,1,3,3,2,1,3,3,2,1,3,3,2,2,3,4,3,1,1,3,3,2,3,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,3,1,1,3,1,3,3,4,1,3,1,1,3,1,1,3,3,2,3,3,3,4,2,2,3,2,1,2,2,2,2,2,0,2,2,1,2,2,0,1,2,1,1,2,0,2,2,0,1,1,4,2,1,1,1,3,2,4,1,3,2,1,1,2,1,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,2,4,2,4,4,2,2,4,2,4,4,4,4,2,2,5,2,4,3,4,2,4,2,2,5,2,4,3,3,2,3,2,2,2,3,4,3,4,3,2,3,3,3,2,4,3,4,4,4,3,3,3,2,2,2,2,3,3,2,3,2,3,3,2,2,5,5,5,4,4,4,3,3,4,4,1,0,2,1,1,1,1,1,0,1,0,2,1,1,0,2,0,0,0,1,37,12,21,40,4,2,1.6,1.4,3,41,14,17,10,2,0,1,1,40,7,12,8,4,7,2,22,4,5,0,6,5,2,57,55,41,61,23,16
27,20,F,Oui,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,2,3,3,2,2,3,3,3,2,3,3,2,2,3,3,2,2,4,3,2,4,2,2,3,3,2,2,3,3,2,2,3,3,2,1,3,4,3,2,2,3,4,2,4,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2,1,1,1,1,3,1,1,1,1,1,3,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,2,0,0,1,0,0,2,1,0,0,0,0,2,2,0,1,0,0,1,2,2,3,1,1,1,3,2,1,1,1,1,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,3,4,2,1,3,4,4,5,2,2,3,4,3,3,2,4,3,2,4,1,3,3,4,3,5,4,3,3,2,4,2,2,2,2,2,3,1,1,2,2,1,3,1,2,2,3,1,1,2,1,2,1,1,2,1,2,2,2,1,1,2,2,1,1,2,2,4,3,3,3,2,1,4,3,5,2,1,0,1,1,1,2,1,2,0,0,2,2,1,1,0,3,0,1,0,2,36,21,22,40,3,1.357142857,1,1.8,1.25,21,5,7,9,2,1,1,0,28,5,7,4,4,4,4,10,0,5,3,2,0,0,43,30,30,52,32,21
28,22,M,Non,Oui,Non,Oui,Non,Non,Non,Oui,Non,Non,2,3,3,2,2,3,3,3,2,3,4,1,2,3,3,2,2,3,3,2,3,2,1,3,3,2,2,3,3,2,2,3,3,2,2,3,3,3,2,2,3,3,2,3,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,NA,4,1,NA,2,1,3,1,1,NA,1,1,NA,1,3,2,2,2,2,2,2,1,4,4,4,3,2,1,4,1,1,0,2,3,0,2,2,1,2,3,3,1,2,2,2,2,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,2,2,3,2,2,2,2,2,2,3,3,2,3,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2,3,3,3,4,4,3,2,3,3,3,1,1,0,1,1,1,2,2,0,0,0,2,1,1,0,2,0,0,0,1,35,21,21,37,6,1.636363636,3,1.8,1.2,40,11,20,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,4,6,3,8,6,7,49,42,31,NA,NA,16
29,19,F,Oui,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,1,3,3,2,2,4,3,3,2,3,3,2,2,3,3,2,2,3,3,2,4,2,2,4,3,1,2,4,4,1,1,3,3,2,2,3,4,3,2,2,3,3,1,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,NA,1,3,NA,3,3,1,1,3,NA,1,3,NA,1,5,3,2,3,4,5,1,2,3,4,2,3,1,5,2,4,4,4,4,3,0,0,3,4,2,3,0,1,2,4,3,2,0,0,1,5,2,0,0,1,2,1,2,1,4,4,3,1,1,2,5,2,1,1,4,0,0,1,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,4,4,5,4,4,4,4,5,5,5,5,5,5,3,4,4,5,5,5,5,2,4,3,3,4,5,4,2,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,4,3,4,2,3,3,3,3,2,3,3,2,3,4,4,2,3,3,2,3,3,3,3,4,4,5,4,4,5,5,3,4,4,1,0,2,2,2,2,2,2,1,2,0,1,1,3,1,2,0,2,2,2,38,20,20,40,4,2.181818182,1,1.4,3.2,53,17,20,16,7,3,2,2,42,11,13,5,5,8,0,36,1,6,12,8,9,0,63,57,42,68,47,30
