sub,Age,Genre,Langue[1],Langue[2],Langue[3],lateralite[1],lateralite[2],lateralite[3],niveauetudes[1],niveauetudes[2],niveauetudes[3],niveauetudes[4],UPPS[1],UPPS[2],UPPS[3],UPPS[4],UPPS[5],UPPS[6],UPPS[7],UPPS[8],UPPS[9],UPPS[10],UPPS[11],UPPS[12],UPPS[13],UPPS[14],UPPS[15],UPPS[16],UPPS[17],UPPS[18],UPPS[19],UPPS[20],UPPS[21],UPPS[22],UPPS[23],UPPS[24],UPPS[25],UPPS[26],UPPS[27],UPPS[28],UPPS[29],UPPS[30],UPPS[31],UPPS[32],UPPS[33],UPPS[34],UPPS[35],UPPS[36],UPPS[37],UPPS[38],UPPS[39],UPPS[40],UPPS[41],UPPS[42],UPPS[43],UPPS[44],UPPS[45],QABB[1],QABB[2],QABB[3],QABB[4],QABB[5],QABB[6],QABB[7],QABB[8],QABB[9],QABB[10],QABB[11],QABB[12],QABB[13],QABB[14],QABB[15],QABB[16],QABB[17],QABB[18],QABB[19],PMPUQSV[1],PMPUQSV[2],PMPUQSV[3],PMPUQSV[4],PMPUQSV[5],PMPUQSV[6],PMPUQSV[7],PMPUQSV[8],PMPUQSV[9],PMPUQSV[10],PMPUQSV[11],PMPUQSV[12],PMPUQSV[13],PMPUQSV[14],PMPUQSV[15],PCLS[1],PCLS[2],PCLS[3],PCLS[4],PCLS[5],PCLS[6],PCLS[7],PCLS[8],PCLS[9],PCLS[10],PCLS[11],PCLS[12],PCLS[13],PCLS[14],PCLS[15],PCLS[16],PCLS[17],OCIR[1],OCIR[2],OCIR[3],OCIR[4],OCIR[5],OCIR[6],OCIR[7],OCIR[8],OCIR[9],OCIR[10],OCIR[11],OCIR[12],OCIR[13],OCIR[14],OCIR[15],OCIR[16],OCIR[17],OCIR[18],IAT[1],IAT[2],IAT[3],IAT[4],IAT[5],IAT[6],IAT[7],IAT[8],IAT[9],IAT[10],IAT[11],IAT[12],IAT[13],IAT[14],IAT[15],IAT[16],IAT[17],IAT[18],IAT[19],IAT[20],EAT26[1],EAT26[2],EAT26[3],EAT26[4],EAT26[5],EAT26[6],EAT26[7],EAT26[8],EAT26[9],EAT26[10],EAT26[11],EAT26[12],EAT26[13],EAT26[14],EAT26[15],EAT26[16],EAT26[17],EAT26[18],EAT26[19],EAT26[20],EAT26[21],EAT26[22],EAT26[23],EAT26[24],EAT26[25],EAT26[26],COHS[1],COHS[2],COHS[3],COHS[4],COHS[5],COHS[6],COHS[7],COHS[8],COHS[9],COHS[10],COHS[11],COHS[12],COHS[13],COHS[14],COHS[15],COHS[16],COHS[17],COHS[18],COHS[19],COHS[20],COHS[21],COHS[22],COHS[23],COHS[24],COHS[25],COHS[26],COHS[27],STAIT[1],STAIT[2],STAIT[3],STAIT[4],STAIT[5],STAIT[6],STAIT[7],STAIT[8],STAIT[9],STAIT[10],STAIT[11],STAIT[12],STAIT[13],STAIT[14],STAIT[15],STAIT[16],STAIT[17],STAIT[18],STAIT[19],STAIT[20],STAIS[1],STAIS[2],STAIS[3],STAIS[4],STAIS[5],STAIS[6],STAIS[7],STAIS[8],STAIS[9],STAIS[10],STAIS[11],STAIS[12],STAIS[13],STAIS[14],STAIS[15],STAIS[16],STAIS[17],STAIS[18],STAIS[19],STAIS[20],PSS[1],PSS[2],PSS[3],PSS[4],PSS[5],PSS[6],PSS[7],PSS[8],PSS[9],PSS[10],CESD[1],CESD[2],CESD[3],CESD[4],CESD[5],CESD[6],CESD[7],CESD[8],CESD[9],CESD[10],CESD[11],CESD[12],CESD[13],CESD[14],CESD[15],CESD[16],CESD[17],CESD[18],CESD[19],CESD[20],UPPS_urgency,UPPS_premeditation,UPPS_perseverance,UPPS_sensation,QABB_total,PMPUQSV_total,PMPUQSV_dangerous,PMPUQSV_prohibited,PMPUQSV_dependant,PCLS_total,PCLS_intrusion,PCLS_evitement,PCLS_hyperstimulation,EAT26_total,EAT26_dieting,EAT26_bulimia,EAT26_oral_control,IAT_total,IAT_salience,IAT_excessive_use,IAT_neglect_work,IAT_anticipation,IAT_lack_control,IAT_neglect_social_life,OCIR_total,OCIR_Washing,OCIR_obsessing,OCIR_hoarding,OCIR_ordering,OCIR_checking,OCIR_neutralising,STAIT_total,STAIS_total,PSS_total,COHS_routine,COHS_automaticity,CESD_total
11,20,F,Oui,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,1,1,3,2,1,1,3,1,4,1,1,2,1,1,3,4,2,1,3,2,4,2,2,1,3,2,2,1,3,1,1,1,3,2,2,1,1,1,2,4,1,4,4,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2,2,1,1,1,3,1,1,NA,2,2,1,2,4,4,2,3,4,5,1,2,1,1,1,1,3,3,2,4,3,1,3,3,0,1,1,2,2,3,1,3,2,1,1,2,1,2,0,4,1,1,2,2,2,0,2,1,0,1,1,0,3,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,0,3,0,0,0,1,0,0,0,0,0,0,4,3,4,4,2,3,5,3,2,2,2,4,4,4,4,3,4,5,2,5,3,3,2,3,2,2,3,2,3,3,3,3,3,2,1,2,3,3,4,3,3,3,3,3,3,2,2,2,3,2,2,2,2,1,2,2,2,4,2,2,3,2,1,3,1,2,1,4,3,4,4,3,3,3,4,3,3,1,2,0,3,1,1,0,2,0,1,1,1,2,3,0,2,0,1,0,1,15,22,19,35,4,1.5,1.5,1.6,1.4,44,17,12,15,9,5,0,4,25,1,8,5,1,7,3,29,6,3,4,8,6,2,54,41,34,60,27,22
12,21,F,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,2,1,3,4,4,1,3,3,4,4,1,2,4,1,4,2,4,1,1,4,1,4,4,3,3,4,4,1,1,2,2,3,1,4,1,1,1,4,4,2,4,1,4,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,NA,4,3,NA,2,4,1,2,4,NA,1,4,NA,3,4,2,3,3,4,2,2,3,2,4,1,2,4,3,3,4,5,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,4,4,0,3,1,3,4,2,1,1,2,3,4,3,1,2,2,1,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,4,5,2,5,4,1,2,4,1,2,3,4,2,5,1,1,1,2,3,5,4,5,4,1,1,4,3,3,2,1,2,3,2,3,4,2,1,2,4,3,2,2,2,3,4,4,4,3,3,4,2,4,4,1,3,3,1,3,2,4,2,3,2,4,3,2,3,3,3,4,2,5,4,3,2,1,2,2,0,3,2,2,1,0,2,1,3,3,2,1,1,2,3,25,35,33,21,4,2.727272727,1,2.4,3.4,51,16,16,19,2,0,0,1,47,13,14,6,6,5,3,4,0,0,2,2,0,0,47,59,33,47,37,36
13,19,F,Non,Oui,Non,Oui,Non,Non,Oui,Oui,Non,Non,4,1,3,1,2,1,3,1,2,1,4,2,2,1,1,2,4,1,3,2,1,1,1,1,3,2,2,1,1,1,1,1,4,2,2,1,1,1,2,1,1,3,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,NA,1,2,NA,3,4,4,4,3,NA,1,1,NA,1,3,5,1,1,2,1,2,2,1,3,1,1,3,4,2,5,4,1,3,1,1,1,1,1,0,1,0,2,1,3,1,2,2,1,0,3,1,0,1,1,1,2,2,1,1,2,1,1,2,1,3,2,1,1,1,3,0,0,0,1,1,1,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,4,1,4,1,3,4,4,5,4,2,4,2,5,2,2,4,2,1,3,2,1,2,4,2,4,3,1,2,2,2,2,2,3,2,3,2,3,2,2,2,2,2,4,2,1,3,1,1,2,1,2,1,2,1,1,1,2,1,1,1,3,1,1,1,1,1,3,2,3,1,1,2,1,2,3,3,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,1,12,23,15,28,6,2.272727273,4,2,2.2,41,12,11,18,11,8,1,2,28,5,8,4,4,6,1,22,4,2,5,4,4,3,44,26,21,52,26,13
14,21,F,Oui,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,4,3,4,4,4,3,4,1,4,4,1,4,4,3,4,4,2,1,3,4,4,4,4,4,4,4,4,1,4,4,4,3,4,4,4,3,3,4,4,4,3,4,4,1,3,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,3,3,2,4,1,4,3,1,NA,4,1,1,3,1,1,4,1,2,4,2,5,4,2,1,1,3,1,4,1,5,1,1,3,3,0,0,0,4,4,0,3,0,1,2,4,0,0,1,0,1,5,5,0,0,3,4,4,5,1,5,5,2,4,3,2,5,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,1,4,1,4,1,5,2,2,2,3,1,1,1,1,1,1,2,1,4,5,5,1,4,3,1,1,1,2,4,2,3,2,4,2,3,3,1,3,2,3,4,2,2,3,2,4,3,3,3,3,3,2,1,1,2,1,2,2,3,1,3,3,2,3,1,3,2,4,5,5,4,3,4,2,3,5,4,2,2,1,1,3,1,1,1,0,1,3,1,0,0,0,1,1,1,0,1,35,42,37,40,9,2.285714286,1.4,2,3.4,42,13,17,12,5,2,0,3,61,14,16,10,9,12,0,26,1,7,11,3,3,1,54,44,39,36,23,21
15,20,F,Oui,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,1,1,1,2,2,4,1,1,4,1,1,2,4,3,1,2,2,4,1,2,1,2,1,4,1,1,1,3,1,2,1,3,1,4,2,1,3,1,2,2,4,3,2,4,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,3,3,4,1,NA,3,4,3,3,2,1,2,1,3,3,1,2,3,3,3,4,3,1,1,1,1,4,3,3,3,4,0,2,3,1,1,3,1,1,3,0,1,2,1,0,2,0,0,1,4,3,1,0,2,3,2,2,3,2,2,0,4,4,0,3,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,5,5,4,5,5,4,5,5,5,3,3,4,3,4,3,2,4,3,3,4,4,3,2,4,4,2,4,2,2,3,3,2,2,3,2,3,2,3,3,3,4,2,3,3,3,2,3,1,1,2,2,2,1,1,2,1,2,2,2,1,3,2,2,2,1,2,2,3,3,3,2,3,3,2,2,4,3,0,0,0,3,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,31,22,19,19,3,2.571428571,2.2,2.5,3,43,12,14,17,4,1,1,2,38,7,12,8,4,6,1,22,2,6,2,8,3,1,53,34,28,63,39,9
16,22,F,Oui,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,1,1,1,1,1,1,1,1,1,4,3,1,1,1,3,1,1,3,1,2,1,1,1,1,3,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,3,4,4,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,4,1,1,4,1,2,4,1,1,4,1,1,1,1,1,5,4,5,5,5,5,5,1,2,4,1,5,5,4,3,5,3,2,4,3,3,1,4,3,1,4,1,0,3,4,0,3,2,0,1,4,0,0,1,0,0,4,4,3,5,2,4,1,4,0,4,4,4,0,3,3,0,1,0,2,0,0,0,0,0,3,0,1,0,3,1,0,1,0,0,0,0,0,2,0,0,5,5,2,4,1,5,5,5,5,5,1,5,4,4,4,2,5,5,3,4,2,3,1,5,1,1,5,1,2,4,4,3,4,3,2,3,3,3,4,4,4,3,3,3,4,1,2,1,2,2,2,4,1,2,2,1,2,3,1,1,1,1,2,2,1,1,1,4,3,4,3,2,2,3,3,2,1,1,1,0,1,2,0,1,1,0,0,3,1,2,1,0,1,0,1,0,0,22,11,11,23,4,1.866666667,1,1.2,3.4,67,24,23,20,17,9,2,3,47,10,15,7,6,8,1,39,1,8,9,10,5,6,60,33,27,73,24,16
17,23,F,Oui,Non,Non,Oui,Non,Non,Oui,Oui,Non,Non,4,3,3,4,4,3,3,3,4,3,1,4,4,3,1,4,4,1,3,2,3,4,4,3,3,4,2,3,1,4,4,3,3,2,2,3,3,3,4,2,3,3,4,3,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,4,3,1,3,2,3,3,2,2,2,2,3,2,2,3,2,2,2,2,2,3,3,3,3,3,2,1,2,3,2,2,2,1,1,2,2,2,2,3,1,2,2,1,2,2,2,1,1,2,2,3,4,2,2,2,3,4,3,2,2,2,3,2,2,2,3,3,2,3,2,2,0,2,2,0,2,0,0,1,2,2,0,1,0,2,0,0,0,2,0,0,2,3,0,0,0,3,3,4,4,4,4,3,3,4,3,3,4,4,4,3,3,3,4,4,4,3,3,3,4,3,4,4,2,2,3,3,2,3,3,2,2,3,2,2,3,3,2,3,2,2,3,2,2,3,2,2,2,3,2,3,2,3,3,2,3,3,2,3,2,2,3,3,3,3,2,3,3,3,3,4,2,3,1,1,2,2,1,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,35,38,34,30,10,2.466666667,2.2,2.4,2.8,39,10,18,11,23,13,5,3,51,12,13,8,6,8,4,31,5,6,6,5,4,5,49,50,29,57,38,26
18,23,F,Oui,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,4,4,4,2,4,4,3,1,2,4,1,2,2,3,4,4,4,1,4,4,4,2,1,3,4,1,2,4,4,2,4,1,4,2,2,3,3,4,2,4,3,4,1,4,4,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,1,1,4,1,4,4,1,1,3,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,5,1,3,0,0,1,0,0,3,3,0,3,0,0,0,4,0,0,0,0,0,5,3,1,1,1,4,5,3,1,1,1,1,1,5,1,5,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,3,5,5,2,1,4,4,5,5,1,5,4,4,2,2,4,3,4,4,1,3,4,5,3,5,4,3,1,2,2,1,1,4,2,3,1,1,1,1,1,2,2,1,1,2,1,3,2,2,3,4,1,1,1,1,1,1,1,4,1,2,3,2,3,2,2,2,1,3,4,2,2,5,2,4,5,5,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,31,24,43,5,2.133333333,1,1.6,3.8,27,5,11,11,6,3,0,3,44,5,15,8,6,8,2,14,0,3,7,4,0,0,33,39,33,49,46,3
19,21,F,Oui,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,4,1,1,4,2,1,1,1,2,3,3,1,1,3,1,1,2,4,1,4,1,2,1,3,1,1,1,3,3,2,2,4,1,2,1,3,1,3,1,2,3,4,4,4,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,4,4,2,2,1,1,3,1,1,2,1,1,5,5,4,5,5,5,5,4,5,5,4,5,3,5,5,3,5,0,1,2,0,2,4,1,1,3,0,3,4,3,0,1,3,3,1,5,3,1,4,1,2,4,4,1,5,4,2,1,4,1,5,4,4,2,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,4,4,4,4,3,4,5,5,3,4,2,5,5,5,5,5,3,2,4,5,4,5,1,4,3,4,5,3,3,4,3,4,3,3,3,2,4,3,3,4,3,4,4,3,4,3,4,2,3,2,3,3,2,3,3,1,2,3,3,2,3,2,3,3,4,3,3,3,4,4,4,5,5,4,4,4,5,2,2,2,3,3,3,3,3,3,3,1,3,2,2,2,3,3,3,2,2,35,19,21,22,3,2.066666667,1.6,1.6,3,78,24,33,21,7,1,2,3,58,11,17,7,8,10,5,32,8,9,4,6,2,3,67,53,42,69,38,50
20,24,F,Oui,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,1,1,1,2,1,4,1,1,2,1,1,2,2,1,4,2,2,1,1,4,3,2,1,1,1,2,1,1,3,2,2,1,1,2,2,1,1,1,2,1,1,4,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,1,1,1,3,3,2,1,3,1,1,2,1,1,3,1,2,2,1,3,2,1,2,4,2,2,2,2,3,1,1,1,2,2,0,2,3,0,0,1,0,1,1,1,1,3,0,1,1,3,3,0,0,1,2,3,4,1,4,2,2,1,3,1,4,4,1,2,3,2,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,1,0,0,0,0,1,0,0,0,5,3,4,3,2,4,5,4,4,5,4,4,4,3,2,4,4,4,1,4,2,4,1,4,5,4,4,3,2,3,3,3,3,2,1,1,3,2,2,2,3,2,3,2,2,1,1,1,2,2,3,3,1,1,2,2,2,2,2,2,2,2,4,1,2,2,2,3,3,3,3,3,4,1,3,2,3,0,0,1,3,2,2,1,2,1,0,1,2,1,1,0,3,0,1,0,0,16,17,20,24,2,1.733333333,1.4,1.4,2.4,34,9,16,9,9,4,1,3,44,10,13,7,5,9,0,20,4,5,2,6,3,0,44,40,28,62,35,21
21,33,F,Oui,Non,Non,Oui,Non,Non,Oui,Oui,Non,Non,2,3,1,1,1,4,1,1,2,1,1,2,2,3,3,2,2,3,1,1,1,2,2,1,3,1,1,1,1,2,2,3,3,2,2,1,1,1,2,2,1,3,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,2,1,2,2,1,1,2,1,1,2,1,1,4,1,4,3,3,3,2,1,1,4,3,3,3,5,3,2,5,2,2,1,0,1,2,2,1,2,0,1,3,3,0,0,2,1,2,4,1,2,2,1,1,2,2,1,2,1,1,1,2,1,1,1,1,1,1,3,0,3,2,0,0,0,0,2,2,3,0,0,0,3,0,0,0,2,0,0,3,2,0,0,0,2,4,5,1,5,2,1,5,5,2,5,5,2,2,3,5,4,2,5,3,2,2,5,2,5,5,4,2,3,2,2,2,4,3,2,2,2,3,2,2,1,1,2,3,3,2,3,2,2,3,3,3,3,3,3,2,3,3,3,2,2,3,3,3,3,2,3,2,3,4,3,3,3,4,3,3,4,2,0,2,2,1,1,2,2,0,0,2,2,1,1,0,2,0,1,0,2,26,20,15,20,2,1.4,1.2,1.2,1.8,50,15,17,18,25,13,7,2,29,6,9,4,3,3,4,25,3,7,7,3,3,2,46,54,32,41,52,23
22,19,F,Oui,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,1,3,1,1,1,4,1,4,2,4,1,1,1,1,1,1,1,4,1,2,3,1,1,1,3,1,1,3,1,1,1,3,3,1,1,3,1,3,1,1,1,3,4,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,1,NA,NA,4,1,1,1,2,NA,4,1,NA,4,5,5,5,5,5,5,5,5,5,5,2,2,4,4,4,4,4,0,2,2,0,0,4,2,2,2,0,0,3,4,0,2,0,0,3,5,5,0,3,5,1,5,1,5,5,5,1,1,1,1,1,1,1,2,2,3,1,1,0,0,0,1,0,1,2,1,0,1,0,2,0,0,0,1,0,0,1,3,0,0,0,3,5,5,5,5,5,5,5,1,5,5,2,2,2,5,5,2,5,5,5,5,5,2,5,5,5,5,3,4,3,4,2,3,3,4,4,4,4,4,4,3,2,3,4,4,3,4,2,3,3,3,4,3,4,3,3,3,4,4,2,3,3,3,4,3,2,3,5,5,5,5,2,4,3,5,5,4,3,2,3,3,1,3,3,2,1,3,2,3,1,3,0,3,3,3,2,3,35,12,16,20,1,2,1,2.8,1.25,74,25,29,20,18,11,2,3,51,10,14,7,10,7,3,26,0,10,6,6,4,0,69,62,43,66,48,47
23,20,M,Non,Oui,Non,Oui,Non,Non,Oui,Non,Non,Non,2,1,1,2,2,1,1,3,2,1,1,2,2,1,1,2,2,1,1,2,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,1,2,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,NA,1,1,NA,1,1,NA,1,2,NA,NA,1,NA,1,1,1,1,1,1,1,1,1,1,3,3,1,3,1,2,1,1,1,2,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,2,1,3,1,2,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,2,2,4,4,2,4,4,4,4,4,4,4,4,4,4,2,4,2,4,2,4,2,2,4,3,2,3,3,3,3,2,2,2,3,3,3,3,2,3,3,2,2,2,3,2,2,3,2,3,2,2,3,2,2,3,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,2,3,1,1,1,3,1,2,1,2,3,2,1,3,0,1,2,2,13,22,20,12,0,1.333333333,NA,1,1.6,24,5,11,8,0,0,0,0,23,9,5,4,2,3,0,8,1,0,2,3,2,0,52,47,30,61,30,32
24,21,F,Oui,Non,Non,Oui,Non,Non,Oui,Oui,Non,Non,2,1,1,1,1,3,3,1,1,1,1,2,2,3,1,4,4,1,1,1,4,2,4,3,3,2,4,1,4,2,4,3,3,4,2,3,4,3,2,1,3,3,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,3,NA,3,1,NA,4,3,3,1,1,NA,2,2,NA,3,2,1,2,2,1,2,2,2,3,2,2,1,2,2,3,2,2,0,2,1,0,1,1,2,1,3,1,2,1,3,1,1,0,2,1,4,2,0,2,1,3,1,2,1,2,2,1,1,3,1,4,3,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,5,3,4,4,4,2,4,4,1,4,4,2,4,4,4,4,4,4,4,5,2,2,2,4,2,5,3,2,4,2,2,3,2,2,4,3,2,2,4,3,2,4,2,3,2,3,2,3,2,2,3,3,1,2,3,3,3,2,1,3,2,3,3,3,2,3,4,4,4,5,4,3,1,3,4,4,0,0,2,3,2,3,3,2,3,3,0,3,2,2,2,3,2,3,3,3,25,27,22,29,5,2.363636364,3,2.6,2,33,8,14,11,4,3,1,0,38,8,11,6,3,8,2,23,5,3,5,5,4,1,54,49,36,56,40,44
25,23,F,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,2,3,3,2,2,1,3,3,4,4,3,2,2,3,3,4,4,1,3,2,4,2,4,3,3,4,4,3,3,2,2,3,3,4,2,3,3,3,4,2,3,3,4,3,3,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,2,2,2,3,2,3,2,3,3,2,NA,2,2,3,2,4,4,4,4,4,4,4,3,3,3,4,4,3,4,3,4,4,0,1,1,0,0,3,1,1,2,0,0,2,1,1,1,0,0,1,4,4,2,3,3,3,3,3,2,3,2,2,1,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,2,3,2,3,2,2,3,2,2,2,2,3,2,3,2,3,2,2,3,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,4,2,1,1,2,2,2,2,2,4,3,3,2,2,2,3,1,0,1,1,1,0,1,1,2,1,0,1,1,1,0,1,0,0,0,1,34,32,28,37,9,2.357142857,2.5,2.4,2.2,63,20,25,18,0,0,0,0,49,10,14,8,5,7,5,15,0,6,2,4,3,0,47,28,25,61,43,14
26,20,F,Oui,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,4,3,3,1,1,3,4,1,2,4,3,1,1,3,4,1,1,4,4,1,4,1,1,4,4,1,2,4,3,1,2,4,3,2,2,3,3,3,2,2,3,3,4,3,3,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,3,3,2,2,2,2,3,2,3,2,3,2,3,3,2,4,4,4,4,4,3,3,3,5,5,5,5,5,5,4,4,5,1,4,3,1,1,4,2,4,3,1,1,3,2,4,2,1,1,3,5,3,2,2,2,2,3,2,2,5,2,1,2,2,1,5,5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,3,4,2,4,3,3,3,4,4,2,3,3,4,4,3,4,4,4,4,4,4,4,4,4,2,3,3,2,2,3,3,3,3,2,4,3,3,4,2,2,4,4,2,3,3,3,4,3,2,4,4,3,4,3,2,4,4,4,4,2,4,4,2,2,5,5,5,1,2,4,3,3,5,4,2,2,0,0,2,2,2,2,0,3,2,1,1,2,1,1,1,2,1,1,42,20,13,41,11,2.466666667,2.6,2.2,2.6,72,20,29,23,0,0,0,0,51,10,14,6,5,12,4,41,3,10,5,8,12,3,57,65,37,54,40,28
27,41,M,Oui,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,4,1,3,2,1,1,3,1,4,1,1,1,2,1,4,2,2,1,3,2,4,2,1,1,3,4,2,1,4,2,4,4,3,2,2,1,4,1,2,2,1,4,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,1,1,2,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1,1,1,0,1,1,1,0,2,0,1,0,2,0,1,0,0,0,5,3,1,4,1,1,3,1,1,1,1,2,1,2,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,2,3,3,4,3,2,4,3,4,3,4,2,3,1,4,3,2,2,4,2,1,1,4,3,1,3,1,1,2,1,1,2,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,3,2,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,16,26,19,37,1,1.466666667,1,1.6,1.8,20,5,9,6,2,0,0,2,35,6,12,3,4,5,5,12,2,1,4,4,1,0,25,23,14,45,30,2
28,21,F,Oui,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,2,1,3,1,2,1,1,1,1,1,1,1,2,1,3,1,2,1,3,4,3,1,2,1,3,1,2,1,1,2,2,1,3,2,1,1,1,3,2,1,1,3,4,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,4,NA,1,3,NA,4,4,4,2,4,NA,1,3,NA,1,4,4,4,3,5,2,3,1,2,5,3,1,5,2,4,4,2,1,0,2,1,0,3,2,3,0,0,2,3,3,0,1,3,1,2,5,5,2,1,2,4,5,5,3,5,5,2,1,5,2,5,5,5,1,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,4,4,3,2,2,3,5,5,4,2,2,4,3,2,3,4,4,5,2,4,3,4,1,4,5,1,4,3,4,3,4,2,4,2,3,3,3,3,3,4,3,3,3,2,3,3,3,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,4,4,5,3,3,5,1,3,4,3,1,2,1,3,2,1,2,3,1,2,3,2,2,2,1,2,3,2,2,1,15,19,17,26,4,2.818181818,4,1.8,3.6,54,20,17,17,6,3,0,1,70,11,22,12,10,12,3,27,3,8,6,3,3,4,61,42,35,57,32,38
